STATE,COUNTY,STNAME,CTYNAME,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,_merge
2,188,Alaska,Northwest Arctic Borough,7219.0,7244.0,7234.0,7277.0,7363.0,7374.0,7438.0,7425.0,7467.0,7444.0,7560.0,7705.0,7705.0,7725.0,7772.0,7772.0,7691.0,7795.0,7694.0,7621.0,both
2,195,Alaska,Petersburg Census Area,4248.0,4198.0,4087.0,3995.0,4051.0,3956.0,3876.0,3888.0,3816.0,3773.0,,,,,,,,,,,left_only
2,198,Alaska,Prince of Wales-Hyder Census Area,6105.0,5902.0,5700.0,5684.0,5665.0,5588.0,5646.0,5531.0,5535.0,5560.0,6211.0,6373.0,6423.0,6446.0,6463.0,6508.0,6519.0,6444.0,6360.0,6203.0,both
2,220,Alaska,Sitka City and Borough,8833.0,8725.0,8847.0,8845.0,8850.0,8929.0,8940.0,8728.0,8711.0,8747.0,8881.0,8884.0,9017.0,8973.0,8838.0,8778.0,8736.0,8641.0,8554.0,8493.0,both
2,230,Alaska,Skagway Municipality,868.0,863.0,854.0,876.0,909.0,917.0,909.0,902.0,905.0,920.0,968.0,962.0,998.0,1026.0,1054.0,1088.0,1132.0,1167.0,1169.0,1183.0,both
2,240,Alaska,Southeast Fairbanks Census Area,6173.0,5696.0,5612.0,5701.0,5970.0,6470.0,6758.0,6855.0,6824.0,6892.0,7061.0,7150.0,7172.0,6986.0,6925.0,6812.0,6857.0,6892.0,6937.0,6893.0,both
2,261,Alaska,Valdez-Cordova Census Area,10220.0,10093.0,10037.0,9942.0,9895.0,9813.0,9715.0,9462.0,9332.0,9324.0,9657.0,9740.0,9734.0,9781.0,9478.0,9319.0,9314.0,9220.0,9161.0,9202.0,both
2,270,Alaska,Wade Hampton Census Area,7042.0,7088.0,7162.0,7286.0,7446.0,7455.0,7464.0,7583.0,7654.0,7731.0,,,,,,,,,,,left_only
2,275,Alaska,Wrangell City and Borough,2454.0,2395.0,2316.0,2254.0,2178.0,2171.0,2168.0,2168.0,2185.0,2147.0,2371.0,2394.0,2420.0,2448.0,2441.0,2453.0,2496.0,2521.0,2538.0,2502.0,both
2,282,Alaska,Yakutat City and Borough,801.0,799.0,749.0,729.0,711.0,677.0,658.0,675.0,650.0,685.0,662.0,656.0,664.0,651.0,655.0,635.0,612.0,602.0,596.0,579.0,both
